Poblacion;Linea;Linea2;Sexo;Individuo;Triplete
CAT;1;CAT1;H;1;CAT1H
CAT;1;CAT1;H;3;CAT1H
CAT;1;CAT1;M;2;CAT1M
CAT;10;CAT10;H;1;CAT10H
CAT;10;CAT10;H;2;CAT10H
CAT;10;CAT10;H;3;CAT10H
CAT;11;CAT11;H;1;CAT11H
CAT;11;CAT11;H;2;CAT11H
CAT;11;CAT11;H;3;CAT11H
CAT;12;CAT12;H;1;CAT12H
CAT;12;CAT12;H;2;CAT12H
CAT;12;CAT12;H;3;CAT12H
CAT;13;CAT13;H;1;CAT13H
CAT;13;CAT13;H;2;CAT13H
CAT;13;CAT13;H;3;CAT13H
CAT;14;CAT14;H;1;CAT14H
CAT;14;CAT14;M;1;CAT14M
CAT;14;CAT14;M;2;CAT14M
CAT;15;CAT15;H;3;CAT15H
CAT;15;CAT15;H;1;CAT15H
CAT;15;CAT15;H;2;CAT15H
CAT;15;CAT15;M;1;CAT15M
CAT;2;CAT2;H;1;CAT2H
CAT;2;CAT2;H;2;CAT2H
CAT;2;CAT2;H;3;CAT2H
CAT;2;CAT2;M;2;CAT2M
CAT;3;CAT3;H;1;CAT3H
CAT;3;CAT3;H;2;CAT3H
CAT;3;CAT3;H;3;CAT3H
CAT;4;CAT4;H;1;CAT4H
CAT;4;CAT4;H;2;CAT4H
CAT;4;CAT4;H;3;CAT4H
CAT;5;CAT5;H;1;CAT5H
CAT;5;CAT5;H;2;CAT5H
CAT;5;CAT5;H;3;CAT5H
CAT;5;CAT5;M;1;CAT5M
CAT;6;CAT6;H;1;CAT6H
CAT;6;CAT6;H;2;CAT6H
CAT;6;CAT6;M;1;CAT6M
CAT;7;CAT7;H;1;CAT7H
CAT;7;CAT7;H;2;CAT7H
CAT;7;CAT7;H;3;CAT7H
CAT;7;CAT7;M;1;CAT7M
CAT;7;CAT7;M;2;CAT7M
CAT;8;CAT8;H;1;CAT8H
CAT;8;CAT8;H;3;CAT8H
CAT;8;CAT8;M;1;CAT8M
CAT;8;CAT8;M;3;CAT8M
CAT;9;CAT9;H;1;CAT9H
CAT;9;CAT9;H;2;CAT9H
CAT;9;CAT9;H;3;CAT9H
HY;17;HY17;H;1;HY17H
HY;17;HY17;H;2;HY17H
HY;17;HY17;H;3;HY17H
HY;19;HY19;H;1;HY19H
HY;19;HY19;H;2;HY19H
HY;19;HY19;H;3;HY19H
HY;25;HY25;H;1;HY25H
HY;25;HY25;H;2;HY25H
HY;25;HY25;H;3;HY25H
HY;26;HY26;H;1;HY26H
HY;26;HY26;H;2;HY26H
HY;26;HY26;H;3;HY26H
HY;26;HY26;H;4;HY26H
HY;34;HY34;H;1;HY34H
HY;34;HY34;H;2;HY34H
HY;34;HY34;H;3;HY34H
HY;37;HY37;H;1;HY37H
HY;37;HY37;H;2;HY37H
HY;37;HY37;H;3;HY37H
HY;38;HY38;H;1;HY38H
HY;38;HY38;H;2;HY38H
HY;38;HY38;H;3;HY38H
HY;40;HY40;H;1;HY40H
HY;40;HY40;H;2;HY40H
HY;40;HY40;H;3;HY40H
HY;C;HYC;H;1;HYCH
HY;34;HY34;M;1;HY34M
HY;37;HY37;M;1;HY37M
HY;38;HY38;M;1;HY38M
HY;40;HY40;M;1;HY40M
LAPACHO;11;LAPACHO11;M;1;LAPACHO11M
LAPACHO;13;LAPACHO13;M;1;LAPACHO13M
LAPACHO;21;LAPACHO21;M;1;LAPACHO21M
LAPACHO;3;LAPACHO3;M;1;LAPACHO3M
LAPACHO;4;LAPACHO4;M;1;LAPACHO4M
LAPACHO;6;LAPACHO6;M;1;LAPACHO6M
LAPACHO;8;LAPACHO8;M;1;LAPACHO8M
LAPACHO;9;LAPACHO9;M;1;LAPACHO9M
LAPACHO;2;LAPACHO2;M;2;LAPACHO2M
MG;104;MG104;H;1;MG104H
MG;104;MG104;H;2;MG104H
MG;104;MG104;H;3;MG104H
MG;104;MG104;M;1;MG104M
MG;105;MG105;H;1;MG105H
MG;105;MG105;H;2;MG105H
MG;105;MG105;H;3;MG105H
MG;105;MG105;M;1;MG105M
MG;106;MG106;H;1;MG106H
MG;106;MG106;H;2;MG106H
MG;106;MG106;H;3;MG106H
MG;107;MG107;H;1;MG107H
MG;107;MG107;H;2;MG107H
MG;107;MG107;H;3;MG107H
MG;109;MG109;H;1;MG109H
MG;109;MG109;H;2;MG109H
MG;109;MG109;H;3;MG109H
MG;111;MG111;H;1;MG111H
MG;111;MG111;H;2;MG111H
MG;111;MG111;H;3;MG111H
MG;111;MG111;M;1;MG111M
MG;113;MG113;H;1;MG113H
MG;113;MG113;H;2;MG113H
MG;113;MG113;H;3;MG113H
MG;113;MG113;M;1;MG113M
MG;117;MG117;H;1;MG117H
MG;117;MG117;H;2;MG117H
MG;117;MG117;H;3;MG117H
MG;117;MG117;M;1;MG117M
MG;120;MG120;H;1;MG120H
MG;120;MG120;H;2;MG120H
MG;120;MG120;H;3;MG120H
MG;120;MG120;M;1;MG120M
MG;C;MGC;H;1;MGCH
MG;C;MGC;H;2;MGCH
MG;C;MGC;H;3;MGCH
MG;D ;MGD ;H;1;MGD H
MG;D ;MGD ;H;2;MGD H
MG;D ;MGD ;H;3;MGD H
MG;D ;MGD ;M;2;MGD M
OLTA;1;OLTA1;M;1;OLTA1M
OLTA;10;OLTA10;H;1;OLTA10H
OLTA;10;OLTA10;H;2;OLTA10H
OLTA;10;OLTA10;H;3;OLTA10H
OLTA;10;OLTA10;M;1;OLTA10M
OLTA;11;OLTA11;H;1;OLTA11H
OLTA;11;OLTA11;H;2;OLTA11H
OLTA;11;OLTA11;H;3;OLTA11H
OLTA;11;OLTA11;M;1;OLTA11M
OLTA;12;OLTA12;H;1;OLTA12H
OLTA;12;OLTA12;H;2;OLTA12H
OLTA;12;OLTA12;H;3;OLTA12H
OLTA;12;OLTA12;M;2;OLTA12M
OLTA;2;OLTA2;M;1;OLTA2M
OLTA;4;OLTA4;H;1;OLTA4H
OLTA;4;OLTA4;H;2;OLTA4H
OLTA;4;OLTA4;H;3;OLTA4H
OLTA;5;OLTA5;H;1;OLTA5H
OLTA;5;OLTA5;H;2;OLTA5H
OLTA;5;OLTA5;H;3;OLTA5H
