Poblacion;pop;Sexo;Linea
CAT;1;H;CAT10
CAT;1;M;CAT10
CAT;1;H;CAT11
CAT;1;M;CAT11
CAT;1;H;CAT12
CAT;1;M;CAT12
CAT;1;H;CAT13
CAT;1;M;CAT13
CAT;1;H;CAT14
CAT;1;M;CAT14
CAT;1;H;CAT15
CAT;1;M;CAT15
CAT;1;H;CAT1
CAT;1;M;CAT1
CAT;1;H;CAT2
CAT;1;M;CAT2
CAT;1;H;CAT3
CAT;1;M;CAT3
CAT;1;H;CAT4
CAT;1;M;CAT4
CAT;1;H;CAT5
CAT;1;M;CAT5
CAT;1;H;CAT6
CAT;1;M;CAT6
CAT;1;H;CAT7
CAT;1;M;CAT7
CAT;1;H;CAT8
CAT;1;M;CAT8
CAT;1;H;CAT9
CAT;1;M;CAT9
HY;2;H;HY17
HY;2;M;HY17
HY;2;H;HY19
HY;2;M;HY19
HY;2;H;HY25
HY;2;M;HY25
HY;2;H;HY26
HY;2;M;HY26
HY;2;H;HY34
HY;2;M;HY34
HY;2;H;HY37
HY;2;M;HY37
HY;2;H;HY38
HY;2;M;HY38
HY;2;H;HY40
HY;2;M;HY40
HY;2;H;HYC
HY;2;M;HYC
LAPACHO;3;H;LAPACO11
LAPACHO;3;M;LAPACO11
LAPACHO;3;H;LAPACO13
LAPACHO;3;M;LAPACO13
LAPACHO;3;H;LAPACO21
LAPACHO;3;M;LAPACO21
LAPACHO;3;H;LAPACO2
LAPACHO;3;M;LAPACO2
LAPACHO;3;H;LAPACO3
LAPACHO;3;M;LAPACO3
LAPACHO;3;H;LAPACO4
LAPACHO;3;M;LAPACO4
LAPACHO;3;H;LAPACO6
LAPACHO;3;M;LAPACO6
LAPACHO;3;H;LAPACO8
LAPACHO;3;M;LAPACO8
LAPACHO;3;H;LAPACO9
LAPACHO;3;M;LAPACO9
MG;4;H;MG104
MG;4;M;MG104
MG;4;H;MG105
MG;4;M;MG105
MG;4;H;MG106
MG;4;M;MG106
MG;4;H;MG107
MG;4;M;MG107
MG;4;H;MG109
MG;4;M;MG109
MG;4;H;MG111
MG;4;M;MG111
MG;4;H;MG113
MG;4;M;MG113
MG;4;H;MG117
MG;4;M;MG117
MG;4;H;MG120
MG;4;M;MG120
MG;4;H;MGC
MG;4;M;MGC
MG;4;H;MGD 
MG;4;M;MGD 
OLTA;5;H;OLTA10
OLTA;5;M;OLTA10
OLTA;5;H;OLTA11
OLTA;5;M;OLTA11
OLTA;5;H;OLTA12
OLTA;5;M;OLTA12
OLTA;5;H;OLTA1
OLTA;5;M;OLTA1
OLTA;5;H;OLTA2
OLTA;5;M;OLTA2
OLTA;5;H;OLTA3
