"","PC1:F","PC2:F","PC3:F","PC4:F","PC5:F","PC6:F","PC7:F","PC8:F","PC9:F","PC10:F","PC11:F","PC1:M","PC2:M","PC3:M","PC4:M","PC5:M","PC6:M","PC7:M","PC8:M","PC9:M","PC10:M","PC11:M"
"PC1:F",5.488323918758e-05,-1.31671086218859e-06,-3.22725728410671e-06,3.7404023651799e-06,-4.50547275651372e-06,-1.60169477412479e-06,-1.56294972652789e-07,3.18404644221209e-06,-1.25069140333464e-06,-2.46332891923281e-06,2.0190898851511e-06,4.07465591578484e-05,2.75775628787385e-06,-6.69850633011146e-06,1.49056078112844e-06,-4.51705980075839e-06,-2.30669854561168e-06,-2.59536415867996e-06,1.28376122915905e-06,7.37929382577149e-07,-6.86991858538645e-07,-1.95471431891625e-06
"PC2:F",-1.31671086218434e-06,4.37948830254962e-05,-5.66354243870743e-06,4.76062740852513e-07,6.83936771934584e-06,-4.37904453384733e-07,9.79594368490522e-07,-7.22775349585789e-07,1.69604133966542e-08,-6.71706717484466e-08,3.3206580973425e-07,-4.03210442457542e-06,3.32747850004434e-05,-5.58485953093604e-06,-9.97285846250857e-07,4.69540918060986e-06,1.43096866343324e-06,-6.1035858808111e-07,-3.30467817653138e-07,1.91986620005398e-06,1.50142189342762e-07,8.2109856591055e-07
"PC3:F",-3.22725728410799e-06,-5.6635424387095e-06,2.64121280012849e-05,-2.0202760997768e-06,-2.78716324141119e-06,6.70030247106046e-08,1.58878848749213e-06,-1.86897000274102e-06,-1.64353442743739e-06,3.55132302491999e-07,2.22955745188692e-07,3.15499250841711e-06,-1.29766049517755e-06,2.55716569062975e-05,-1.1622900673502e-06,-3.84318651122567e-06,-3.01942493730659e-06,-1.13263415124827e-07,3.65417218577314e-07,-1.45441925254548e-06,5.64808861033102e-07,6.2550804461638e-07
"PC4:F",3.74040236517987e-06,4.76062740855375e-07,-2.020276099774e-06,2.36848312704495e-05,2.97795529691881e-06,-1.00801948151471e-06,-9.00379214122555e-07,3.54187335979553e-07,-5.61179937098028e-07,-9.63702125301898e-07,1.42843591022835e-06,3.4744008086258e-06,-1.62182919543385e-06,-1.91221838111522e-06,2.04532630826915e-05,3.80706824024361e-06,5.39002444997242e-07,-8.90351692624512e-07,-4.29536317292147e-07,4.41992909213361e-07,9.85935955875542e-07,1.86113459114509e-06
"PC5:F",-4.5054727565151e-06,6.83936771934373e-06,-2.78716324141269e-06,2.97795529691897e-06,1.64813825050822e-05,2.58150616452737e-08,-1.41267106124342e-06,-2.20180033653027e-07,-6.83498585937202e-07,-7.05663432434032e-07,-1.45195987840814e-06,-2.68733885597887e-06,3.95076845766952e-06,-2.70365273782577e-06,3.33157066054664e-06,1.41524753065822e-05,-2.95482460662548e-07,-8.01178437904587e-07,6.48635148474058e-07,2.88806120221848e-08,3.70149667582082e-07,-7.29389023407915e-07
"PC6:F",-1.60169477412705e-06,-4.37904453385452e-07,6.70030247080728e-08,-1.00801948151702e-06,2.58150616489755e-08,1.21966802412259e-05,1.27651763032861e-07,-8.29180986439369e-07,-3.95773006842977e-07,1.18398565080186e-06,-8.9261212457859e-07,1.36095466840059e-06,-1.22199872759769e-06,-1.16544083082571e-06,1.42497684807685e-06,1.74628861624887e-07,1.03251945730312e-05,-5.6426920042933e-07,6.98282080324568e-07,1.08775809228957e-07,1.01532106608876e-06,-2.07467221869622e-07
"PC7:F",-1.56294972654293e-07,9.79594368492898e-07,1.58878848749201e-06,-9.00379214122819e-07,-1.41267106124245e-06,1.2765176303205e-07,5.40276607060219e-06,-1.18443204640622e-06,-1.5274522801071e-06,1.76734434700606e-07,-8.04394064366487e-07,-1.15659472354093e-06,-6.04767004064044e-07,2.19571582439629e-06,1.37987187952828e-06,-1.82462553753672e-06,4.21559167638767e-07,3.91811686609405e-06,-5.83244628030288e-07,-5.12271286282949e-07,2.19956288443023e-07,-1.10383296203624e-06
"PC8:F",3.18404644221452e-06,-7.22775349585568e-07,-1.86897000274079e-06,3.54187335979529e-07,-2.20180033651646e-07,-8.29180986439529e-07,-1.18443204640585e-06,4.31564306215796e-06,4.97747973552582e-07,7.2142172193897e-08,7.84664739185099e-08,1.48559561418363e-06,-6.54246047191226e-07,-1.46200429159061e-06,-7.32812572504471e-07,-8.94358510742537e-08,-5.28984148947209e-07,-1.1417634301693e-06,3.46772898420566e-06,3.71560458173364e-09,-2.69195705641183e-07,-5.66773534534323e-07
"PC9:F",-1.25069140333438e-06,1.69604133958929e-08,-1.64353442743706e-06,-5.61179937098713e-07,-6.83498585936574e-07,-3.9577300684335e-07,-1.52745228010713e-06,4.97747973552523e-07,4.18414336027789e-06,1.49992249946471e-07,-5.07937949040735e-07,-1.09995649681126e-06,-7.06229892052426e-07,-1.52060118413629e-06,-8.92782586701303e-07,-3.84278328563936e-07,-4.51336380200064e-07,-1.48613903041044e-06,-2.51408056660535e-07,3.12874874323054e-06,-5.59355032015946e-07,-5.27259463998495e-07
"PC10:F",-2.46332891923046e-06,-6.71706717489378e-08,3.55132302491297e-07,-9.63702125302276e-07,-7.0566343243472e-07,1.18398565080197e-06,1.76734434700679e-07,7.21421721936736e-08,1.49992249946322e-07,3.38925411945407e-06,-4.14654117393689e-07,-1.56198593348827e-06,-1.92100809150139e-06,5.94871923355886e-07,-1.74352548555311e-06,-2.81395549561692e-07,1.07111186756027e-06,-6.07880674885078e-07,1.65249026413567e-07,-6.28734677583522e-07,2.9118148006582e-06,-6.60568325476887e-07
