"","PC1:F","PC2:F","PC3:F","PC4:F","PC5:F","PC6:F","PC7:F","PC8:F","PC9:F","PC10:F","PC11:F","PC1:M","PC2:M","PC3:M","PC4:M","PC5:M","PC6:M","PC7:M","PC8:M","PC9:M","PC10:M","PC11:M"
"PC1:F",1,-0.0268570844803539,-0.0847641137005408,0.103744076165668,-0.149804093498573,-0.0619069020935701,-0.00907647172843633,0.206888698270287,-0.0825328835664364,-0.180613609313217,0.139534083575847,0.895692619349974,0.0653283539293145,-0.161003480476044,0.0433484683995845,-0.162281897943445,-0.0943596101864236,-0.168211623252718,0.0885980636608578,0.0528594703737365,-0.0513564475197017,-0.159038038712509
"PC2:F",-0.0268570844802674,1,-0.166523211203232,0.0147814609271843,0.254570133043229,-0.0189472793182936,0.0636834396759591,-0.05257374182749,0.00125291460040435,-0.00551335478014699,0.0256895794958368,-0.0992220072061488,0.882407665827943,-0.150271883191086,-0.0324677284601897,0.188840814617944,0.0655290092694977,-0.0442844179582159,-0.0255315587255674,0.153952643046099,0.0125647632834317,0.0747861528643104
"PC3:F",-0.0847641137005744,-0.166523211203292,1,-0.0807744262451778,-0.133586905486237,0.00373311950412984,0.133001428536464,-0.175056352548909,-0.156341340363198,0.03753499947676,0.0222106613352083,0.0999734220955554,-0.04431238103145,0.886001245161932,-0.0487255516605349,-0.19903244155141,-0.178048248114706,-0.0105819455455467,0.0363535773296601,-0.150181275998902,0.0608643596064842,0.0733615987898603
"PC4:F",0.103744076165667,0.0147814609272731,-0.080774426245066,1,0.150725317427869,-0.0593079563075181,-0.0795943482560822,0.0350328219887729,-0.0563720346675887,-0.107561191112376,0.150269254192383,0.116260635472211,-0.0584838111668309,-0.0699647845221546,0.905464425220554,0.208204264039342,0.0335637711756658,-0.0878423625398283,-0.0451257657176719,0.0481956704753942,0.112195854224202,0.230504929798263
"PC5:F",-0.149804093498619,0.25457013304315,-0.133586905486309,0.150725317427878,1,0.00182077184019375,-0.149704945464704,-0.0261070833340628,-0.0823071422342624,-0.0944166804380239,-0.183105890331635,-0.107798702814039,0.170785288639527,-0.118585407387777,0.176805652144684,0.927832737904987,-0.0220571832645016,-0.0947567157812641,0.0816889853744964,0.00377517809823053,0.0504944674657973,-0.108292901157979
"PC6:F",-0.0619069020936576,-0.0189472793183247,0.00373311950398878,-0.0593079563076545,0.00182077184045484,1,0.0157252629546785,-0.114289348464945,-0.0554015701351385,0.184150776165298,-0.130853842918373,0.0634615628606592,-0.0614066823672251,-0.059421904950336,0.0879085110566046,0.0133085061508658,0.895968186687642,-0.0775788063879257,0.102228013259484,0.0165287258207476,0.161007397445771,-0.035806861551859
"PC7:F",-0.00907647172852369,0.0636834396761135,0.133001428536454,-0.0795943482561055,-0.149704945464602,0.0157252629545785,1,-0.245289697951835,-0.321259730783351,0.041301043723317,-0.177176163850546,-0.0810328376247358,-0.0456610302107771,0.168207443372074,0.127901199467437,-0.208929503810683,0.0549623913834625,0.809369566648865,-0.128292866272851,-0.116955272047934,0.0524072719093458,-0.286241672830347
"PC8:F",0.206888698270446,-0.0525737418274739,-0.175056352548887,0.0350328219887706,-0.026107083333899,-0.114289348464967,-0.245289697951757,1,0.117134131966751,0.0188631574370515,0.0193377480229125,0.116457046662921,-0.0552693106830505,-0.125314997134447,-0.0760000867103421,-0.0114583739335325,-0.0771676124660169,-0.263894863098464,0.853458154042419,0.000949149454783405,-0.0717643276805827,-0.164446406763069
"PC9:F",-0.0825328835664194,0.00125291460034811,-0.156341340363166,-0.0563720346676575,-0.0823071422341867,-0.0554015701351907,-0.321259730783357,0.117134131966737,1,0.0398302906318214,-0.127131128423454,-0.0875709686650415,-0.0605910553883536,-0.132369889474523,-0.0940343155682309,-0.0500007732588414,-0.0668670597948691,-0.348845984857108,-0.0628399391041474,0.811699506391469,-0.151442413855035,-0.1553669679293
"PC10:F",-0.180613609313044,-0.00551335478018731,0.0375349994766858,-0.107561191112418,-0.094416680438116,0.184150776165316,0.0413010437233342,0.0188631574369931,0.0398302906317818,1,-0.115313043498974,-0.138169750964256,-0.183122971748455,0.0575371790530252,-0.204042280436358,-0.0406817160345013,0.176318518813508,-0.158541819228173,0.0458930251022054,-0.181235478951771,0.875941161677092,-0.216273477599352
"PC11:F",0.139534083575905,0.0256895794957795,0.0222106613351319,0.150269254192347,-0.183105890331622,-0.130853842918307,-0.177176163850618,0.0193377480229053,-0.127131128423513,-0.115313043499085,1,0.089284964577976,0.0849371016584045,0.155643714811432,0.0520818953154461,-0.0520845244930815,0.0144530857731567,-0.132878215006318,-0.10429921586141,0.0454667614161803,-0.197461074315458,0.821345174533765
"PC1:M",0.895692619350019,-0.0992220072061335,0.0999734220955062,0.116260635472208,-0.107798702814015,0.0634615628606197,-0.0810328376247495,0.116457046663016,-0.0875709686650482,-0.138169750964359,0.0892849645779985,1,0.0461418004906247,0.0468791259263828,0.0499330364876722,-0.106260910414087,-0.0632158605926667,-0.28401293324897,0.059035267442341,0.0361746455320582,-0.00275789627627465,-0.14757732018304
"PC2:M",0.0653283539293777,0.882407665827934,-0.0443123810314024,-0.0584838111668997,0.170785288639526,-0.0614066823671328,-0.0456610302107532,-0.0552693106830661,-0.0605910553883726,-0.183122971748494,0.0849371016583412,0.046141800490651,1,-0.0710143293654235,-0.128610507677405,0.0846719153076747,-0.0264473541994574,-0.138994426000953,-0.0336818889969256,0.0538473780740488,-0.16471069906735,0.158789611663019
"PC3:M",-0.161003480476169,-0.150271883190973,0.886001245161909,-0.0699647845220356,-0.118585407387839,-0.0594219049503171,0.168207443372055,-0.125314997134409,-0.132369889474598,0.0575371790530643,0.155643714811361,0.0468791259264597,-0.071014329365274,1,-0.0269430320774653,-0.131039891595195,-0.183189538907262,0.0546680323888803,0.0497433568722931,-0.0628492413207243,0.00250589495089813,0.157240646783783
